policy_domain,app_name,package_name,review_text,rating
Education,Diksha,in.gov.diksha.app,its very nice and usefull chapters,5
Education,Diksha,in.gov.diksha.app,ऐप बहुत अच्छा है । लेकिन लाँग इन होने में बहुत परेशानी आ रही है ।,5
Education,Diksha,in.gov.diksha.app,जब ओपन करता हूं तो नाम आता है लोग आउट करके वापिस लोग इन करे??,1
Education,Diksha,in.gov.diksha.app,bahut accha app hai,5
Education,Diksha,in.gov.diksha.app,bekar app hai,1
Education,Diksha,in.gov.diksha.app,padhai karne ka sabse achha sadhan hai,5
Education,Diksha,in.gov.diksha.app,faltu app hain khul hi nahi raha,1
Education,Diksha,in.gov.diksha.app,nise,5
Education,Diksha,in.gov.diksha.app,Not a single video is starting.,1
Education,Diksha,in.gov.diksha.app,worst app I have ever seen kabhi kuchh accha nhi bana skte ye log,1
Education,Diksha,in.gov.diksha.app,Best,5
Education,Diksha,in.gov.diksha.app,good 😊 exprencence,5
Education,Diksha,in.gov.diksha.app,it's very very useful for exam preparation ❤️❤️❤️,5
Education,Diksha,in.gov.diksha.app,Good,3
Education,Diksha,in.gov.diksha.app,"सबसे खराब ऐप है, कोर्स कहां है और कैसे करें पता ही नहीं चलता है,",1
Education,Diksha,in.gov.diksha.app,there's nothing in this app . absolute waste..,1
Education,Diksha,in.gov.diksha.app,he open hot nahi,1
Education,Diksha,in.gov.diksha.app,just before starting any video two options pop up log out or cancel continue glitches,1
Education,Diksha,in.gov.diksha.app,After scanning the QR code stepping into the video class then the video stops between every 10 seconds,4
Education,Diksha,in.gov.diksha.app,bahut achha app hai,5
Education,Diksha,in.gov.diksha.app,bahut Sundar hai bhai,5
Education,Diksha,in.gov.diksha.app,"worst app ,most of the time it doesn't work out. and now it is started to get blank out also",1
Education,Diksha,in.gov.diksha.app,Waste of time,1
Education,Diksha,in.gov.diksha.app,"worst app ever, it's not allow me to even login",1
Education,Diksha,in.gov.diksha.app,Very good 👍,5
Education,Diksha,in.gov.diksha.app,this app is waste because I installed two times and it is showing this app isn't linked with this version,1
Education,Diksha,in.gov.diksha.app,pooorr and 💩💩💩💩,1
Education,Diksha,in.gov.diksha.app,"App will always ask for login when visited and ai feature will work slow sometimes may not work properly , please faster the performance",4
Education,Diksha,in.gov.diksha.app,ok,5
Education,Diksha,in.gov.diksha.app,this app is best 😇👍🫡🤗😱,5
Education,Diksha,in.gov.diksha.app,this app is very important for all the candidates,5
Education,Diksha,in.gov.diksha.app,Too good 👍,5
Education,Diksha,in.gov.diksha.app,it is not useful for students,1
Education,Diksha,in.gov.diksha.app,very nice,5
Education,Diksha,in.gov.diksha.app,It is ok but it doesn't have proper answer,3
Education,Diksha,in.gov.diksha.app,good,5
Education,Diksha,in.gov.diksha.app,aap is the best,5
Education,Diksha,in.gov.diksha.app,"Whenever I ask something, this app only tells me"" I don't know "".",1
Education,Diksha,in.gov.diksha.app,"good, leave me",1
Education,Diksha,in.gov.diksha.app,please resolve 404 error,1
Education,Diksha,in.gov.diksha.app,excellent,5
Education,Diksha,in.gov.diksha.app,మొడ్డని,1
Education,Diksha,in.gov.diksha.app,there any agxhxxxxzxxxxxxxe restrictions for using the applicationthere any age restrictions for using the application,2
Education,Diksha,in.gov.diksha.app,Good 👍,5
Education,Diksha,in.gov.diksha.app,z hair lo na,1
Education,Diksha,in.gov.diksha.app,WERY nice app,5
Education,Diksha,in.gov.diksha.app,worst app,1
Education,Diksha,in.gov.diksha.app,best,5
Education,Diksha,in.gov.diksha.app,government should get better teachers,2
Education,Diksha,in.gov.diksha.app,Accha,5
Education,Diksha,in.gov.diksha.app,it a very nice app,5
Education,Diksha,in.gov.diksha.app,when I open cources the app shows update now,5
Education,Diksha,in.gov.diksha.app,क्या भारत के software इंजीनियर लोगों को एक्सेसिबिलिटी देनी नहीं आती है? अगर ऐसा नहीं है तो आप लोग इसको एक्सेसिबल क्यों नहीं बनाते हैं ब्लाइंड के लिए यह बिल्कुल भी एक्सेसिबल नहीं है आप लोग क्यों नहीं इसे आसान बनाते हैं अपडेट करके और भी बेकार कर दिया है. आप लोग ऐप् को आसान बनाएं ताकि हम लोग CPD course के अपने घंटे पूरे कर सकें अगर आप लोग app को accessible बनाना नहीं जानतेज्ञ तो कृपया गूगल से कांटेक्ट करें वह आपको बताएंगे कि ऐप को एक्सेसिबल कैसे बनाया जाता है,1
Education,Diksha,in.gov.diksha.app,good app⭐⭐⭐⭐⭐,5
Education,Diksha,in.gov.diksha.app,app is not working,1
Education,Diksha,in.gov.diksha.app,Asks for updates frequently,3
Education,Diksha,in.gov.diksha.app,this app is not working because when I am open this app and a technical issue in the app,3
Education,Diksha,in.gov.diksha.app,दीक्षा सतत् अधिगम का एक सहज और सरल मंच है यहाँ पर अनेक ज्ञानवर्धक और प्रेरक पाठ्यक्रम सम्बंधी कोर्सेस आसानी से और निः शुल्क सीखने को मिल रहे हैं । इससे हमारा अकादमिक और व्यावसायिक उन्नयन संभव हो सका है । धन्यवाद दीक्षा,5
Education,Diksha,in.gov.diksha.app,Fix the bug for god sake,1
Education,Diksha,in.gov.diksha.app,nice this app but I not like this app.,2
Education,Diksha,in.gov.diksha.app,best,5
Education,Diksha,in.gov.diksha.app,best app for digibook,5
Education,Diksha,in.gov.diksha.app,खूपच वाईट,1
Education,Diksha,in.gov.diksha.app,वीडियो की क्वालिटी सेट करने के लिए ऑप्शन दो हमारे यहां नेटवर्क नहीं रहता हैं। इस कारण परेशानी होती है। और डाटा भी अधिक जाता है। वीडियो रुक रुक कर चला कृपया थोड़ा सुधार करें।,4
Education,Diksha,in.gov.diksha.app,nice,4
Education,Diksha,in.gov.diksha.app,very glitches in this application,1
Education,Diksha,in.gov.diksha.app,ai feature will not properly response in some time and app needs to speed up for current time competation still good option,4
Education,Diksha,in.gov.diksha.app,overall good i just have a problem I update it whenever it requires but still next time not even a week within I again have to update it and why do I need to log in every time and not all resources are shown sometimes its just blank,2
Education,Diksha,in.gov.diksha.app,I had a very bad experience,1
Education,Diksha,in.gov.diksha.app,very very nice 🙂 app bro 😁,5
Education,Diksha,in.gov.diksha.app,such a slow app no matter if you complete a course it won't show that the course is completed and people can't even ask for help there. Even if this is a government app atleast fix the bugs and modify the app.,2
Education,Diksha,in.gov.diksha.app,nice,5
Education,Diksha,in.gov.diksha.app,good,5
Education,Diksha,in.gov.diksha.app,good,5
Education,Diksha,in.gov.diksha.app,it is doesn't open,1
Education,Diksha,in.gov.diksha.app,ಓಪನ್ ಮಾಡಕ್ ಆಗ್ತಾ ಇಲ್ಲ,1
Education,Diksha,in.gov.diksha.app,"why I am unable to download the application. I tried for the last 1/2 hr, I think their is a problem in the application",1
Education,Diksha,in.gov.diksha.app,very nice app for the learning of the students,4
Education,Diksha,in.gov.diksha.app,it hangs every minute,1
Education,Diksha,in.gov.diksha.app,"so irritating app ,some functions are not work properly 👎👎",1
Education,Diksha,in.gov.diksha.app,nice अप्प,4
Education,Diksha,in.gov.diksha.app,This app has worst videos and some videos are not opening also this app is not work good since I have redmi A3x new phone and also says network error,1
Education,Diksha,in.gov.diksha.app,very good👍👍,5
Education,Diksha,in.gov.diksha.app,"Before this app used to work good but now it is showing"" no data found""",1
Education,Diksha,in.gov.diksha.app,The Diksha app became even more nonsensical than before. The video of the course in the app does not proceed even after watching it several times.,2
Education,Diksha,in.gov.diksha.app,it is benefitial to think about any problem and also useful in solving the same,3
Education,Diksha,in.gov.diksha.app,"Dear Diksha Support Team, My diksha app is not working. it is giving me an error in courses. I am unable to complete any course. Please help me.",1
Education,Diksha,in.gov.diksha.app,"इस बार का अपडेट बहुत ही बेकार है पहले वाला अपडेट लाइए 🙏🙏 किताब फुल स्क्रीन पर दिखता भी नहीं है, फुल स्क्रीन करने में दिक्कत आता है, हम अलग अलग कक्ष की पुस्तक को एक ही साथ नहीं पढ़ पाते हैं। जब एक पेज को फुल स्क्रीन पर करते हैं तो दूसरा पेज आता नहीं है पहले वाले पेज को छोटा करना पड़ता है तब दूसरा पेज ओपन होता है please इस चीज को ठीक कीजिए जल्दी। 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",4
Education,Diksha,in.gov.diksha.app,ver y nice app for school work,5
Education,Diksha,in.gov.diksha.app,very nice app,5
Education,Diksha,in.gov.diksha.app,it's not installed in my phone,5
Education,Diksha,in.gov.diksha.app,DIKSHA is best platform for education,5
Education,Diksha,in.gov.diksha.app,मेरी कक्षा 5 की किताब को बोल रहे हैं अंक जगत मगर ए नहीं रही है सरकारियों की प्लीज उसको चालू कर दीजिए,2
Education,Diksha,in.gov.diksha.app,the app doesn't get open quickly takes too much time to open and I can't study using this app,2
Education,Diksha,in.gov.diksha.app,This app is very useful app.,5
Education,Diksha,in.gov.diksha.app,good app for education,5
Education,Diksha,in.gov.diksha.app,गुड,5
Education,Diksha,in.gov.diksha.app,vry helpful,5
Education,Diksha,in.gov.diksha.app,super,5
Education,Diksha,in.gov.diksha.app,l can't use the QR code scanner and when I click continue something gets copy and I don't know how to sign up form Google when wherever l was clicked on the sing up something gets copy please develop the app nicely,1
Education,Diksha,in.gov.diksha.app,good,1
Education,Diksha,in.gov.diksha.app,વાવ,2
Education,Diksha,in.gov.diksha.app,good,5
Education,Diksha,in.gov.diksha.app,no use waste app I thought it is too but not is it right 🤬🤬,1
Education,Diksha,in.gov.diksha.app,super aap this aap is read and learn to book scaner 👍 thanks i am naitik. prajapati i. live in surajana naya mp 14 in mandsour 🙏💐🌹🌹🌹🌹💐😊😊👌👌👌👌👌👌🤑👌👌🤑👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌😍😍😍👌😍👌👌👌😍😍👌👌👌,5
Education,Diksha,in.gov.diksha.app,ok,5
Education,Diksha,in.gov.diksha.app,it has came first I open means update came I have did after it all changea,1
Education,Diksha,in.gov.diksha.app,good aap 👍🏻👍🏻👍🏻,5
Education,Diksha,in.gov.diksha.app,this app is not supporting visually impaired this app is not supporting TalkBack option and also improve the accessibility features in this app,2
Education,Diksha,in.gov.diksha.app,the app was so good,5
Education,Diksha,in.gov.diksha.app,this app when you use you will get network problem and when you use to see the video you have need more MB while you are watching toll platform is good but network is not good even you use airtel or Jio network is always low,1
Education,Diksha,in.gov.diksha.app,Kindly make this app suitable for Android 8 also. This app is not compatible with Android 8.,4
Education,Diksha,in.gov.diksha.app,unable to login through the option because of an error: login with state system > Rajasthan > unable to connect to the remote server,1
Education,Diksha,in.gov.diksha.app,excellent service,5
Education,Diksha,in.gov.diksha.app,last few months I cant open the CPD traning for the teachers ... what can i do. please give a solution. If I open the link its not entering the Diksha app. If I type the course name in the app also it was not available ..,1
Education,Diksha,in.gov.diksha.app,raj Sharma yah aap bahot acha hi,4
Education,Diksha,in.gov.diksha.app,good app for educational purposes,5
Education,Diksha,in.gov.diksha.app,awesome app,5
Education,Diksha,in.gov.diksha.app,I am trying to open it but it's not opening.,1
Education,Diksha,in.gov.diksha.app,10yeard,5
Education,Diksha,in.gov.diksha.app,not working now what I have to do,5
Education,Diksha,in.gov.diksha.app,Diksha app is a very helpful for students 👍👍,5
Education,Diksha,in.gov.diksha.app,This app is very good for all the students.,5
Education,Diksha,in.gov.diksha.app,nice app,5
Education,Diksha,in.gov.diksha.app,please help me,1
Education,Diksha,in.gov.diksha.app,स्टेट सिस्टम से लोगइन नही हो रहा है।,1
Education,Diksha,in.gov.diksha.app,"At first many formalities were asked which is okay as I was new to the app. but when these were over, a pop up type message came in front of me saying do you agree to terms and conditions. as as a responsible citizen I red and agreed but still the would not open. the loading option comes and disappears. nothing else. I want to do MCQ of the AI session that NCERT has recently started.",1
Education,Diksha,in.gov.diksha.app,this update is pathetic. I don't like this update and want the previous version. why the books of high school and intermediate are gone?,1
Education,Diksha,in.gov.diksha.app,quite new to me .,5
Education,Diksha,in.gov.diksha.app,it's not opening itself,1
Education,Diksha,in.gov.diksha.app,Good,5
Education,Diksha,in.gov.diksha.app,very nice app,5
Education,Diksha,in.gov.diksha.app,nice,5
Education,Diksha,in.gov.diksha.app,fhaltu app,1
Education,Diksha,in.gov.diksha.app,bad,1
Education,Diksha,in.gov.diksha.app,👍🏻👍🏻 Good,2
Education,Diksha,in.gov.diksha.app,it is very useful to students,5
Education,Diksha,in.gov.diksha.app,good,5
Education,Diksha,in.gov.diksha.app,nice and very good app I like this app,5
Education,Diksha,in.gov.diksha.app,1- एक से अधिक अकॉउंट मर्ज कैसे होंगे ?,1
Education,Diksha,in.gov.diksha.app,It's very helpful for both teachers and students 😊,5
Education,Diksha,in.gov.diksha.app,bhut badiya app he aap bhi 1 baar check kre or review bhi de taki or logo ko help mil sake pdai me,5
Education,Diksha,in.gov.diksha.app,Usefull,5
Education,Diksha,in.gov.diksha.app,nice,1
Education,Diksha,in.gov.diksha.app,best app for teachers and learners,5
Education,Diksha,in.gov.diksha.app,💯💯‼‼‼‼‼‼‼💯🤣💔🙏🙏😆,5
Education,Diksha,in.gov.diksha.app,so bad 😞😞😔,1
Education,Diksha,in.gov.diksha.app,i don't know what is the problem with this app it was such an annoying app because it was not coming to open such a irritating app with 0 use if we want know what is the use of this app atleast we have to use the app but after logging also it was not working. it wasted my time and data,1
Education,Diksha,in.gov.diksha.app,जब नये पद्धति का पुस्तक प्रकाशित किया जा चुका है तों उनके उत्तर को ४ महिनों में भी नहीं डाल सके इस ऐप मे।,1
Education,Diksha,in.gov.diksha.app,one of the worst apps some textbooks are not displaying from Andhra Pradesh board,1
Education,Diksha,in.gov.diksha.app,very bad,1
Education,Diksha,in.gov.diksha.app,"Really helpful app for teachers and students! It's easy to use, and the content is well-organized. Great for online learning and training.",5
Education,Diksha,in.gov.diksha.app,very good 👍 👏 👌,5
Education,Diksha,in.gov.diksha.app,"Diksha Book वाकई शानदार है! ✨ इसमें concepts clear हैं, language आसान है और examples भी exam-oriented हैं। 12th science के students के लिए ये book एकदम helpful साबित होती है। 🔥 Suggestion: बस एक ही कमी है — notes की थोड़ी कमी महसूस होती है। अगर short notes या summary add कर दी जाए, तो ये book पूरी तरह perfect बन जाएगी! 📖💫",5
Education,Diksha,in.gov.diksha.app,bhavika,5
Education,Diksha,in.gov.diksha.app,very nice app Diksha,4
Education,Diksha,in.gov.diksha.app,good,5
Education,Diksha,in.gov.diksha.app,more usefully,5
Education,Diksha,in.gov.diksha.app,it is good app for students that's nay opinion,4
Education,Diksha,in.gov.diksha.app,kharab aap,1
Education,Diksha,in.gov.diksha.app,Good App 😀👍❤️‍🩹🥀🤪,5
Education,Diksha,in.gov.diksha.app,outstanding,5
Education,Diksha,in.gov.diksha.app,This app is not working in My 65 interactive Display Please provide a solution.So that I can use this app for teaching my students.,3
Education,Diksha,in.gov.diksha.app,good but I want that app for my studies please,5
Education,Diksha,in.gov.diksha.app,worst app. there is no content related to any chapter in this board it's not useful at all .how to use this app while content not provide whenever I use it I don't get any content,1
Education,Diksha,in.gov.diksha.app,"after Latest app Update, Login issue. Login again and again. everytime you open App, do login Login again and again. please solve Login issue.",1
Education,Diksha,in.gov.diksha.app,this app is very nice for learning but I think devloper was sleeping while making this app. because the app is sead me to complete my profile and when went there was no save button in personal profile and app is not allowing me to study 😔,4
Education,Diksha,in.gov.diksha.app,"The app is best for students & teachers, like learn and trainings.",5
Education,Diksha,in.gov.diksha.app,"It's a good app for teachers, but many of its videos and other content are not working and showing errors, even when I'm using the latest version.",3
